column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,column_42,column_43,column_44,column_45,column_46,column_47,column_48,column_49,column_50
1,1,63,2,13,2,2,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.215250044327714,33.870813366298165,59.94368763894103,27.154819134800046,2.616868090178652,2.3334618191600525,3.5237287406284423
1,1,67,1,12,2,2,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027377559157040987,-12.555253570310636,28.01592932925893,25.950899256884615,1.5284567058912657,0.0030149969160446766,4.268312220337794
1,2,71,2,17,2,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4.727314742881527,45.806623204131185,48.80259875381205,27.193805073671882,9.423063772766088,-0.019705764018063787,1.1561033632965492
0,1,76,2,32,2,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.043754546339505,-12.582580194506878,54.779202880360494,23.035801017934553,22.08202116474518,0.7029126406982289,-0.09598257722676884
0,1,90,1,35,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.61024198731063,-19.104087778890623,48.62947836149854,46.11677142738115,6.488217221665336,0.8983171274582071,1.678219923688868
1,1,91,1,12,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6265291934389294,3.712175486427334,58.36558381618042,40.79214173899064,7.934688510034629,0.33096386021953783,16.272376270495954
0,2,39,1,21,2,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.494371431037508,8.9104335489696,34.644460422324784,42.67972073480269,13.91074819862863,0.3966486971639366,0.450225120617211
1,2,72,2,26,2,2,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.747318196091477,4.844197842398476,32.92631217972691,19.584206755347576,8.673765116283802,0.33316210773945526,0.3162035758670072
1,2,90,2,20,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.1434923642549428,8.059192836606346,68.2540228709518,36.38318954667965,17.111739958311944,-0.252048261466292,4.340193718018703
1,1,25,1,27,2,2,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.763130022016503,21.72316676952934,53.95182015889422,26.924777036894202,3.26422775033476,0.07582031722140836,0.6866231254848154
1,2,72,2,23,2,2,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,-0.2318283326130839,29.333582631116943,47.00351536216202,26.161151603886022,7.441156819228811,0.7803414607585519,-0.5268264461256482
1,2,38,2,18,2,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.238427392374577,21.34044919400275,69.7458120964182,22.11044553083473,4.555890642876842,1.122815963073061,1.4439996586143184
1,1,68,2,48,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.195304315179291,40.379347099573764,61.04944181924512,38.64828265347367,7.0044027991831195,1.0394821997109427,5.499882977073167
0,1,67,2,34,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2.9025758357697606,-0.46692013183813685,66.44420412843132,33.77120796798728,9.698596712533721,0.41153497701203234,3.5522566497686503
1,1,85,1,40,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.039692883472801,29.550104432923874,32.09822779897342,41.50673242746739,18.5994389902122,1.2077516097121745,-1.491723221385639
1,1,72,2,43,2,2,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.559913654701619,15.408326370568748,68.1019515327745,22.49234392452295,2.3906358595013795,0.97145520518711,-11.339084993909761
1,1,90,2,12,2,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.639250868003931,-13.538633113561115,60.421140521479295,32.66751886482536,5.4997094181993855,-0.011672526148139073,-0.7794898929182175
1,2,69,1,48,2,2,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,4.758881428699221,2.4262968381169117,59.811029478110505,18.63016579497759,20.72258849033607,0.4729783430541147,5.416677971667049
1,2,76,2,46,2,2,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.838389407440028,29.522673410248252,67.55813914164331,26.41442074612081,8.99889575411135,0.8954435717047087,-1.3286489406989865
1,1,46,2,21,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5805866956630403,27.852183997319827,60.458848278403664,35.40086383516713,4.863326547420174,0.5041061211608175,3.3807032623121174
