column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_11,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_25,column_27,column_29,column_30
30.335468115921504,0,0,0,0,0,0,0,0.8233192737217176,1,1,1,0,1,74,0,75.93088093858555,1,1,2,1,0,1
76.23885792940071,0,0,0,0,0,1,1,0.3117766772765435,0,1,1,0,1,84,1,-18.550090112385035,0,0,2,1,0,1
204.62732846906852,1,1,0,0,0,0,0,0.4478719082072732,1,0,1,0,0,62,0,42.86856725513112,0,0,2,0,0,0
-12.58906328715364,0,1,0,0,0,1,0,1.194460460929475,1,1,1,0,1,89,0,21.78300992312435,1,1,2,1,0,0
149.2951715998051,0,1,0,0,0,0,0,0.9481657539305134,0,1,1,0,0,55,1,13.051622921213507,0,0,2,1,0,1
-72.29062340529508,0,1,0,0,0,1,0,0.2580333428844099,0,1,0,0,0,105,0,-7.422651049226089,0,1,2,1,0,0
93.46416628463494,1,0,0,0,0,0,1,1.0710447085225252,1,1,1,0,1,73,1,-10.077522017397504,1,1,2,0,0,0
204.214972802891,0,1,0,0,0,0,0,1.1424743824926602,0,0,1,0,1,78,0,-31.06843197680062,0,0,2,1,0,1
31.507061414704705,1,1,0,0,0,1,0,1.1159091185979173,1,1,1,0,1,82,1,-12.770475772801847,1,1,2,0,0,0
230.21005442477343,1,1,0,0,0,0,1,1.4020342636148178,0,1,1,0,1,79,0,-13.459908733680802,0,0,2,0,0,1
85.52566547704362,1,1,0,0,0,0,0,0.2050689157955205,0,1,1,0,0,46,0,21.831292661220534,0,0,2,0,1,1
105.30475135592718,0,0,0,0,0,0,0,-0.15228783833446763,0,1,0,0,0,50,0,31.877877988389876,0,0,2,1,0,1
65.45691153712491,0,0,0,0,0,1,0,0.6962612485689997,0,0,1,0,1,85,0,-20.315333411633937,0,0,2,1,0,1
107.60144151783804,0,1,0,1,0,0,0,0.30160199013767625,0,1,0,0,1,69,0,-17.92849885831344,1,0,2,1,0,1
195.21425639485395,0,1,0,0,0,0,0,0.09758055851780405,0,1,1,0,0,61,0,49.50085626316452,0,0,2,0,0,0
93.23720265512375,0,0,0,0,0,1,0,1.0565986876137514,0,1,1,0,1,77,0,25.407316121047415,0,0,2,0,0,1
140.4518257262549,0,1,0,0,0,0,0,-0.2455141575757308,1,1,0,0,1,60,0,46.85055752654632,0,1,2,0,0,1
133.05707346033913,1,0,0,0,0,1,0,1.9182255485426707,0,1,1,0,1,77,0,26.898080607587353,0,0,2,0,0,1
111.46935155700224,0,0,0,1,0,0,1,0.7204719027489414,1,1,1,0,0,59,0,19.513636715756355,0,1,2,1,0,1
-162.53637990265236,0,0,0,0,0,0,1,0.4377563610183964,1,0,0,0,1,97,0,-35.76384001920971,0,0,2,1,0,1
-90.05007982555527,1,0,0,0,0,1,0,0.11698326994287361,1,1,1,0,0,90,0,-17.785655341918943,0,0,1,0,0,1
190.58870246129067,0,0,0,0,0,0,0,0.05784126769691924,0,1,1,0,1,65,0,78.54885644508353,1,0,2,1,0,0
-112.15879281457356,0,1,0,0,0,1,0,-0.010355257664346921,1,1,0,0,0,66,0,-7.631416359435913,0,1,2,0,0,1
111.32729768941415,0,1,0,0,0,0,0,0.39816616947066635,0,1,1,0,1,71,1,37.488711295300774,1,1,2,0,0,0
89.79709770739449,1,0,0,0,0,0,0,1.0130802934040477,1,1,0,0,0,78,0,3.3748785229001905,0,0,2,0,0,1
-19.743925440174532,1,0,0,0,0,0,0,1.2536874087788081,1,0,1,0,1,97,0,-14.884736578490383,1,0,2,1,0,0
-77.28583975440675,0,0,0,0,0,0,0,0.3395082349876248,1,1,0,0,1,68,0,39.332668763662795,1,0,2,1,0,1
70.48957528692007,0,1,0,0,0,1,0,0.8139737200633629,1,1,1,0,0,78,0,35.575862886354464,0,0,2,0,0,1
24.319648879275302,1,1,0,0,0,1,0,0.6518957293671912,0,1,1,0,1,64,0,59.432659677023004,0,1,2,0,0,1
21.981537728444472,1,0,0,0,0,1,0,0.6248724138906193,1,1,0,0,0,73,0,-5.211500907791795,0,0,2,1,0,1
77.44947498343363,0,1,0,0,0,0,0,0.2899965912586314,0,1,1,0,1,71,0,17.59307880351608,0,1,1,0,0,0
17.872561517660927,0,0,0,0,0,1,0,0.47061660962617,0,1,1,0,1,84,0,-9.6785626034475,0,0,2,0,0,1
89.15303719825143,0,1,0,0,0,1,0,0.8299727706589868,1,1,1,0,0,73,0,15.225028182756816,0,0,2,0,0,1
98.76938282554164,0,1,0,0,0,0,1,1.2066008681105418,1,1,1,0,0,90,0,25.714078064416793,1,0,2,0,0,0
26.596109365618783,1,1,0,0,0,0,0,1.4013208142067475,1,1,0,0,1,85,0,-14.584463315895706,0,1,2,1,0,1
1.4489492810390439,0,0,0,0,0,1,0,0.7043847420300159,0,1,0,0,1,63,0,17.723594388650994,0,0,2,0,0,1
33.13582764620138,0,0,0,0,0,0,1,1.242867064719103,1,0,1,0,1,74,0,3.8214574492622186,0,0,2,1,0,1
140.02462620606815,0,1,0,0,0,1,0,0.43650391672183825,0,1,1,0,0,64,0,17.397304739414224,0,0,2,0,0,0
-111.32780307660308,1,0,0,0,0,0,1,0.4151128036560679,0,0,1,0,0,55,1,-17.93869388655395,0,1,2,0,0,0
82.27311942494948,0,0,0,0,0,0,0,0.48006353891305303,1,1,0,0,0,60,0,22.806231395295352,0,0,2,0,0,0
119.10997677382593,0,0,0,0,0,0,0,1.3989418282326826,1,1,1,0,1,67,0,21.45521556745987,0,0,2,1,0,0
80.18422305485265,0,0,0,0,0,0,0,0.4106978586450168,0,1,0,0,0,47,1,7.285509211968755,0,1,1,0,0,0
-31.60569244301175,0,1,0,0,0,1,0,1.0315921357040478,1,1,1,0,1,83,0,-27.614579095578183,0,0,2,0,0,1
47.00345987130166,0,1,0,0,0,0,0,0.6258417058395416,1,1,0,0,0,95,0,39.92726162195231,0,0,2,0,0,0
-66.66621099377602,1,1,0,0,0,0,0,1.1658014314220668,1,1,0,0,0,76,1,52.81857534123995,0,0,2,1,0,1
18.217006178235483,0,1,0,0,0,1,0,0.29389584905825633,1,1,1,0,0,94,0,57.09514524098116,1,0,2,0,0,0
